Tropical rainforest,Eastern Africa,3.5,7.6
Tropical rainforest,Central Africa,3.5,7.6
Tropical rainforest,Northern Africa,3.5,7.6
Tropical rainforest,Southern Africa,3.5,7.6
Tropical rainforest,Western Africa,3.5,7.6
Tropical rainforest,Central Asia,2.7,3.4
Tropical rainforest,Eastern Asia,2.7,3.4
Tropical rainforest,South-eastern Asia,2.7,3.4
Tropical rainforest,Southern Asia,2.7,3.4
Tropical rainforest,Western Asia,2.7,3.4
Tropical rainforest,Europe,7,7
Tropical rainforest,Oceania,7,7
Tropical rainforest,North America,2.3,5.9
Tropical rainforest,South America,2.3,5.9
Tropical rainforest,Central America,2.3,5.9
Tropical rainforest,Caribbean,2.3,5.9
Tropical moist deciduous forest,Eastern Africa,0.9,2.9
Tropical moist deciduous forest,Central Africa,0.9,2.9
Tropical moist deciduous forest,Northern Africa,0.9,2.9
Tropical moist deciduous forest,Southern Africa,0.9,2.9
Tropical moist deciduous forest,Western Africa,0.9,2.9
Tropical moist deciduous forest,Central Asia,0.9,2.4
Tropical moist deciduous forest,Eastern Asia,0.9,2.4
Tropical moist deciduous forest,South-eastern Asia,0.9,2.4
Tropical moist deciduous forest,Southern Asia,0.9,2.4
Tropical moist deciduous forest,Western Asia,0.9,2.4
Tropical moist deciduous forest,Europe,5,5
Tropical moist deciduous forest,Oceania,5,5
Tropical moist deciduous forest,North America,2.7,5.2
Tropical moist deciduous forest,South America,2.7,5.2
Tropical moist deciduous forest,Central America,2.7,5.2
Tropical moist deciduous forest,Caribbean,2.7,5.2
Tropical dry forest,Eastern Africa,1.6,3.9
Tropical dry forest,Central Africa,1.6,3.9
Tropical dry forest,Northern Africa,1.6,3.9
Tropical dry forest,Southern Africa,1.6,3.9
Tropical dry forest,Western Africa,1.6,3.9
Tropical dry forest,Central Asia,1.6,3.9
Tropical dry forest,Eastern Asia,1.6,3.9
Tropical dry forest,South-eastern Asia,1.6,3.9
Tropical dry forest,Southern Asia,1.6,3.9
Tropical dry forest,Western Asia,1.6,3.9
Tropical dry forest,Europe,2.4,2.4
Tropical dry forest,Oceania,2.4,2.4
Tropical dry forest,North America,1.6,3.9
Tropical dry forest,South America,1.6,3.9
Tropical dry forest,Central America,1.6,3.9
Tropical dry forest,Caribbean,1.6,3.9
Tropical shrubland,Eastern Africa,0.9,0.45
Tropical shrubland,Central Africa,0.9,0.45
Tropical shrubland,Northern Africa,0.9,0.45
Tropical shrubland,Southern Africa,0.9,0.45
Tropical shrubland,Western Africa,0.9,0.45
Tropical shrubland,Central Asia,1.15,3.5
Tropical shrubland,Eastern Asia,1.15,3.5
Tropical shrubland,South-eastern Asia,1.15,3.5
Tropical shrubland,Southern Asia,1.15,3.5
Tropical shrubland,Western Asia,1.15,3.5
Tropical shrubland,Europe,1,1
Tropical shrubland,Oceania,1,1
Tropical shrubland,North America,1,4
Tropical shrubland,South America,1,4
Tropical shrubland,Central America,1,4
